,date,subject,headline,headline_link
0,2022-09-02,Tennis,Serena Williams Eliminated From U.S. Open in Her Final Grand Slam Match,https://www.wsj.com/articles/serena-williams-retirement-us-open-11662171278
1,2022-09-02,U.S.,Eight Migrants Die Trying to Cross Rio Grande,https://www.wsj.com/articles/eight-migrants-die-trying-to-cross-rio-grande-border-patrol-says-11662170676
2,2022-09-02,Asia,U.S. Approves $1 Billion in Arms Sales to Taiwan ,https://www.wsj.com/articles/u-s-approves-1-billion-in-arms-sales-to-taiwan-11662166386
3,2022-09-02,Europe,"Russia to Keep Nord Stream Pipeline Shut, Citing Mechanical Problems ",https://www.wsj.com/articles/russia-to-keep-nord-stream-pipeline-shut-citing-mechanical-problems-11662137957
4,2022-09-02,Business,Elon Musk and Twitter Set to Face Off at Omnibus Hearing ,https://www.wsj.com/articles/elon-musk-and-twitter-set-to-face-off-at-omnibus-hearing-next-week-11662161244
5,2022-09-02,◆,WSJ News Exclusive,https://www.wsj.com/articles/cvs-is-in-advanced-talks-to-buy-signify-health-11662155701
6,2022-09-02,Latin America,Argentines Show Support for Vice President After Attempted Attack,https://www.wsj.com/articles/argentines-show-support-for-vice-president-after-attempted-gun-attack-11662145983
7,2022-09-02,◆,WSJ News Exclusive,https://www.wsj.com/articles/u-s-again-stops-iran-from-seizing-naval-drones-11662142591
8,2022-09-02,Risk & Compliance Journal,"Visa, Mastercard, Amex Urged to Track Gun Sales",https://www.wsj.com/articles/visa-mastercard-amex-urged-to-track-gun-sales-to-fight-crime-11662160316
9,2022-09-02,Health,FTC Investigating Amazon Deal to Buy One Medical Clinics,https://www.wsj.com/articles/ftc-investigating-amazon-deal-to-buy-one-medical-network-of-health-clinics-11662157363
10,2022-09-02,Review & Outlook,"Another Week, Another Leak at the IRS",https://www.wsj.com/articles/another-week-another-leak-at-the-irs-taxpayer-data-11662153431
11,2022-09-02,Review & Outlook,California’s Fast-Food Bill Whopper,https://www.wsj.com/articles/californias-labor-whopper-fast-food-restaurants-gavin-newsom-11661968646
12,2022-09-02,Review & Outlook,Joe Biden Holds a Trump Rally,https://www.wsj.com/articles/joe-biden-holds-a-donald-trump-rally-speech-maga-republicans-white-house-11662149768
13,2022-09-02,Politics,Environmental Lawyer Tapped to Lead White House Regulatory Office ,https://www.wsj.com/articles/environmental-lawyer-tapped-to-lead-white-house-regulatory-office-11662157654
14,2022-09-02,Review & Outlook,Russia’s Gazprom Brings an Early Winter to Europe,https://www.wsj.com/articles/gazprom-brings-winter-to-europe-vladimir-putin-russia-natural-gas-pipeline-11662148280
15,2022-09-02,College Football,"College Football 2022: Alabama Is No. 1, but Everything Else Is Changing",https://www.wsj.com/articles/college-football-2022-alabama-11662087268
16,2022-09-02,U.S.,"Jane Fonda Reveals Cancer Diagnosis, Is Undergoing Chemotherapy",https://www.wsj.com/articles/jane-fonda-reveals-non-hodgkin-lymphoma-diagnosis-is-undergoing-chemotherapy-11662154358
17,2022-09-02,Masterpiece,"Out of Many Parts, One Painting",https://www.wsj.com/articles/still-life-with-fruit-and-nuts-robert-s-duncanson-masterpiece-national-gallary-of-art-raphaelle-peale-joseph-decker-john-f-peto-martin-johnson-heade-hudson-river-school-thomas-cole-nicholas-longworth-david-lubin-george-caleb-bingham-fitz-henry-lane-john-f-francis-11662154746
18,2022-09-02,◆,WSJ News Exclusive,https://www.wsj.com/articles/u-s-army-maintenance-error-led-to-chinook-helicopter-grounding-11662154212
19,2022-09-02,Commentary,The Last Gasp of 20th-Century NASA,https://www.wsj.com/articles/the-last-gasp-of-20th-century-nasa-space-launch-moon-orion-spacex-boeing-rocket-11662148944
20,2022-09-02,College Football,College Football Playoff Will Expand to 12 Teams by 2026 ,https://www.wsj.com/articles/college-football-playoff-expansion-12-teams-11662153769
21,2022-09-02,Cross Country,How Teachers Are Secretly Taught Critical Race Theory,https://www.wsj.com/articles/if-students-dont-learn-critical-race-theory-why-do-teachers-pacific-educational-group-school-board-administrators-students-class-11662150413
22,2022-09-02,Business World,CO2 Fight Dies (Again) in Zaporizhzhia ,https://www.wsj.com/articles/co2-fight-dies-again-in-zaporizhzhia-ukraine-russia-nuclear-power-plant-energy-disaster-europe-accident-11662149935
23,2022-09-02,U.S. Markets,Stocks Turn Lower ,https://www.wsj.com/articles/global-stocks-markets-dow-update-09-02-2022-11662114368
24,2022-09-02,Health,FTC Appeals Judge's Dismissal of Suit Against Illumina,https://www.wsj.com/articles/ftc-appeals-judge-s-dismissal-of-its-lawsuit-against-illumina-11662149854
25,2022-09-02,Business,Chobani Withdraws IPO After Delays,https://www.wsj.com/articles/chobani-withdraws-ipo-after-delays-11662152221
26,2022-09-02,Tech,Meta Acquires Berlin Startup to Boost Virtual-Reality Ambitions,https://www.wsj.com/articles/meta-acquires-berlin-startup-to-boost-virtual-reality-ambitions-11662147631
27,2022-09-02,Credit Markets,Bond Yields Fall on Jobs Report,https://www.wsj.com/articles/jobs-report-looms-over-latest-yield-climb-for-u-s-treasurys-11662073979
28,2022-09-02,Crossword,"Foodies (Saturday Crossword, September 3)",https://www.wsj.com/articles/foodies-saturday-crossword-september-3-11661986723
29,2022-09-02,Variety Puzzle,"Rows Garden (Saturday Variety Puzzle, September 3)",https://www.wsj.com/articles/rows-garden-saturday-variety-puzzle-september-3-11661986897
